model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	leave.unused
CJS	Phi	0	-1	1	Triang	all	logit	~1								
CJS	p	1	-1	0	Triang	all	logit	~1								
Recovery	S	0	0	1	Triang	all	logit	~1								
Recovery	r	0	0	0	Triang	all	logit	~1								
Brownie	S	0	-1	1	Triang	all	logit	~1								
Brownie	f	0	0	0	Triang	all	logit	~1								
Burnham	S	0	0	1	Triang	all	logit	~1								
Burnham	p	1	-1	0	Triang	all	logit	~1								
Burnham	r	0	0	0	Triang	all	logit	~1								
Burnham	F	0	-1	1	Triang	all	logit	~1								
MSLiveDead	S	0	0	1	Triang	all	logit	~1						TRUE		
MSLiveDead	p	1	-1	0	Triang	all	logit	~1						TRUE		
MSLiveDead	Psi	-1	0	0	Triang	all	mlogit	~-1+stratum:tostratum						TRUE	TRUE	
MSLiveDead	r	0	0	0	Triang	all	logit	~1						TRUE		
Barker	S	0	0	1	Triang	all	logit	~1								
Barker	p	1	-1	0	Triang	all	logit	~1								
Barker	r	0	0	0	Triang	all	logit	~1								
Barker	R	0	0	0	Triang	all	logit	~1								
Barker	Rprime	0	0	0	Triang	all	logit	~1								
Barker	F	0	-1	1	Triang	all	logit	~1								
Barker	Fprime	0	-1	0	Triang	all	logit	~1								
POPAN	Phi	0	-1	1	Square	all	logit	~1								
POPAN	p	0	0	0	Square	all	logit	~1								
POPAN	pent	1	-1	0	Square	all	mlogit	~1								
POPAN	N	0	1		Square	all	log	~1								TRUE
Jolly	Phi	0	-1	1	Square	all	logit	~1								
Jolly	p	0	0	0	Square	all	logit	~1								
Jolly	Lambda	0	-1	1	Square	all	log	~1								
Jolly	N	0	1		Square	all	log	~1								
Pradel	Gamma	0	-1	1	Square	all	logit									
Pradel	p	0	-1	0	Square	all	logit	~1								
Pradrec	Phi	0	-1	1	Square	all	logit	~1								
Pradrec	p	0	0	0	Square	all	logit	~1								
Pradrec	f	0	-1		Square	all	log	~1								
LinkBarker	Phi	0	-1	1	Square	all	logit	~1								
LinkBarker	p	0	0	0	Square	all	logit	~1								
LinkBarker	f	0	-1		Square	all	log	~1								
Pradsen	Phi	0	-1	1	Square	all	logit	~1								
Pradsen	p	0	0	0	Square	all	logit	~1								
Pradsen	Gamma	0	-1	1	Square	all	logit									
Pradlambda	Phi	0	-1	1	Square	all	logit	~1								
Pradlambda	p	0	0	0	Square	all	logit	~1								
Pradlambda	Lambda	0	-1	1	Square	all	log	~1								
Closed	p	0	0	0	Square	all	logit	~1	FALSE	c						
Closed	c	1	-1	0	Square	all	logit			p						
Closed	N	0	1		Square	all	log	~1								
FullHet	pi	0	1	0	Square	all	logit	~1			TRUE	-1				
FullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0				
FullHet	c	1	-1	0	Square	all	logit			p	TRUE	0				
FullHet	N	0	1		Square	all	log	~1			FALSE					
HetClosed	pi	0	1	0	Square	all	logit	~1			TRUE	-1				
HetClosed	p	0	1	0	Square	all	logit	~1			TRUE	0				
HetClosed	N	0	1		Square	all	log	~1			FALSE					
Huggins	p	0	0	0	Square	all	logit	~1	FALSE	c						
Huggins	c	1	-1	0	Square	all	logit			p						
HugHet	pi	0	1	0	Square	all	logit	~1			TRUE	-1				
HugHet	p	0	1	0	Square	all	logit	~1			TRUE	0				
HugFullHet	pi	0	1	0	Square	all	logit	~1			TRUE	-1				
HugFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0				
HugFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0				
Known	S	1	0	1	Square	all	logit	~1								
Nest	S	0	-1	1	Square	all	logit	~1								
Multistrata	S	0	-1	1	Triang	all	logit	~stratum						TRUE		
Multistrata	p	1	-1	0	Triang	all	logit	~stratum						TRUE		
Multistrata	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum						TRUE	TRUE	
Occupancy	p	0	0	0	Square	all	logit	~1								
Occupancy	Psi	0	1		Square	all	logit	~1								
OccupHet	pi	0	1	0	Square	all	logit	~1			TRUE	-1				
OccupHet	p	0	0	0	Square	all	logit	~1			TRUE	0				
OccupHet	Psi	0	1		Square	all	logit	~1								
MSOccupancy	Psi1	0	1		Square	all	logit	~1								
MSOccupancy	Psi2	0	1		Square	all	logit	~1								
MSOccupancy	p1	0	0	0	Square	all	logit	~1	FALSE	p2						
MSOccupancy	p2	0	0	0	Square	all	logit			p1						
MSOccupancy	Delta	0	0	1	Square	all	logit	~1								
OccupRNPoisson	r	0	1		Square	all	logit	~1								
OccupRNPoisson	Lambda	0	1		Square	all	log	~1								
OccupRPoisson	r	0	1		Square	all	logit	~1								
OccupRPoisson	Lambda	0	1		Square	all	log	~1								
OccupRNNegBin	r	0	1		Square	all	logit	~1								
